Subject,Dataset,Tweet ID,URL,Content,Author ID,Author Username,Author Blue Verified (T/F),Followers,Author Location,Likes,Views,Date
Keir Starmer (UK PM),domain,1979182060951544289,https://x.com/SpiritOfSiberia/status/1979182060951544289,@Keir_Starmer Building what? Mosques?,1137517600492183552,,False,0,"Ottawa, Ontario",4,51,"October 17, 2025 at 01:45 PM"
Keir Starmer (UK PM),domain,1979180688206110755,https://x.com/GodCountryBucks/status/1979180688206110755,@Keir_Starmer Resign,1842374908543737856,,False,0,United States,3,8,"October 17, 2025 at 01:40 PM"
Keir Starmer (UK PM),domain,1979180585202360546,https://x.com/jeff_goods63220/status/1979180585202360546,@Keir_Starmer Liar.,1956181601534001152,,False,0,,1,4,"October 17, 2025 at 01:39 PM"
Keir Starmer (UK PM),domain,1979180218741854507,https://x.com/StephenPLundy/status/1979180218741854507,@Keir_Starmer,557940912,,False,0,,1,5,"October 17, 2025 at 01:38 PM"
Keir Starmer (UK PM),domain,1979180068082459112,https://x.com/MrsP32233725/status/1979180068082459112,@RobertJenrick @Keir_Starmer,1558482201892818944,,False,0,,1,4,"October 17, 2025 at 01:37 PM"
Keir Starmer (UK PM),domain,1979179958267244926,https://x.com/JimiNicholls/status/1979179958267244926,@Keir_Starmer 🤡,2332631471,,False,0,Tiptonite,2,8,"October 17, 2025 at 01:37 PM"
Keir Starmer (UK PM),domain,1979179471191109657,https://x.com/no1carol/status/1979179471191109657,@Keir_Starmer,70205105,,False,0,United Kingdom,0,2,"October 17, 2025 at 01:35 PM"
Keir Starmer (UK PM),domain,1979179274470068484,https://x.com/MarsWindchimes/status/1979179274470068484,@Keir_Starmer Wanker,1727015726157119488,,False,0,Mars,1,2,"October 17, 2025 at 01:34 PM"
Keir Starmer (UK PM),domain,1979178964582072366,https://x.com/The_RS_Gadfly/status/1979178964582072366,@Keir_Starmer Liar.,1571530634,,False,0,Somewhere is meatspace,1,1,"October 17, 2025 at 01:33 PM"
Keir Starmer (UK PM),domain,1979178680292106535,https://x.com/no1carol/status/1979178680292106535,@Keir_Starmer,70205105,,False,0,United Kingdom,1,1,"October 17, 2025 at 01:32 PM"
Keir Starmer (UK PM),domain,1979178437680959561,https://x.com/ToshiroJC/status/1979178437680959561,@Keir_Starmer @ShabanaMahmood,480699122,,False,0,Where my heart is Happy,1,15,"October 17, 2025 at 01:31 PM"
Keir Starmer (UK PM),domain,1979178196055584855,https://x.com/penning_gerben/status/1979178196055584855,@Keir_Starmer Idiot,1603452348516515922,,False,0,,1,3,"October 17, 2025 at 01:30 PM"
Keir Starmer (UK PM),domain,1979177704583840159,https://x.com/no1carol/status/1979177704583840159,@Keir_Starmer,70205105,,False,0,United Kingdom,0,3,"October 17, 2025 at 01:28 PM"
Keir Starmer (UK PM),domain,1979177533284258203,https://x.com/MongrovianMike/status/1979177533284258203,@Keir_Starmer 🖕🖕🖕🖕,2249131961,,False,0,"New York, USA and Mongrovia",1,21,"October 17, 2025 at 01:27 PM"
Keir Starmer (UK PM),domain,1979177345698124025,https://x.com/Willamina74/status/1979177345698124025,@Keir_Starmer,1721440000246468608,,False,0,"England, United Kingdom",1,5,"October 17, 2025 at 01:27 PM"
Keir Starmer (UK PM),domain,1979176686890459317,https://x.com/no1carol/status/1979176686890459317,@Keir_Starmer @ShabanaMahmood,70205105,,False,0,United Kingdom,1,5,"October 17, 2025 at 01:24 PM"
